Timestamp,What is your age group?,What is your religion?,What is your identified gender?,"How do you feel about having visible tattoos on yourself? (If you currently have none, how would you feel about getting them?)","How do you feel about visible tattoos on people close to you? (friends, family)",How do you feel about visible tattoos on strangers?,"In general, what are your sentiments toward tattoos?"
10/30/2024 12:04:30,44 - 59,Atheist/Agnostic,Male,Dislike them and not considering getting in the future,Forced to accept no choice but dislike it,Very weird,1
10/30/2024 12:05:06,60 - 69,Atheist/Agnostic,Female,hate it and dont want to get it ,Hate it and painful,Dislike it,5
10/30/2024 12:05:59,18 - 27,Atheist/Agnostic,Male,fine and might get in the future,fine don't even think about it,looks great,4
10/30/2024 12:07:32,18 - 27,Taoist,Male,I would be interested in getting one,Neutral,Neutral,3
10/30/2024 12:07:38,18 - 27,Buddhist,Male,noo dont want to get,dont like then look like gangster,no look like gangster ,4
10/30/2024 12:09:38,18 - 27,Atheist/Agnostic,Female,i would not get them in case my aesthetic changes and i regret it ,good,cool,5
10/30/2024 12:10:07,18 - 27,Atheist/Agnostic,Female,i want one but only if it’s meaningful to me,i think it’s nice,i might be a bit more wary depending on how they look and how many tattoos they have ,4
10/30/2024 12:12:31,18 - 27,Christian / Catholic,Female,Scared of changing people's perception of me just because I have a tattoo,Damn cool,Damn cool,3
10/30/2024 12:18:21,18 - 27,Atheist/Agnostic,Male,"I do love them, but I am always concerned about if it might affect my future employment","I like them, and feel inspired by their tattoos",I like them and admire their decision to do so.,5
10/30/2024 12:19:03,18 - 27,Christian / Catholic,Male,"I personally wouldn't want to have tattoos I general because it's permanent and if I regret the tattoo later on, it would be expensive to remove. Additionally tattoos fade over time meaning that after a few years it probably won't look as nice anymore. ","I think it's perfectly fine, people are free to do what they want to with their bodies. It's also worth considering the fact that my friends and family might have a different view towards tattoos. Perhaps they see it as an art form or a way to express themselves.",Again I think that it is perfectly fine I don't think we should judge people for what they want to do to with their own bodies,4
10/30/2024 12:20:08,18 - 27,Buddhist,Male,"Hmmm, it really depends. I like the idea of tattoos but I don't think I'd ever get any that are visible. I would only get them if they were appropriate and symbolic, but even then nothing too big and probably on my arm/leg.","I think its fine, though of course I would advocate for something tasteful and appropriate. People are free to choose though.","First impression, maybe a bit more wild/brash? But I guess it depends on whether it first the overall aesthetic. People who get tattoos everywhere kind of give me the ick though.",3
10/30/2024 12:20:11,18 - 27,Buddhist,Female,Yeah want to get tattoos but am wary of which position of the body to place them. I think tattoos are no longer gangster-ish and subject to interpretation. Some tattoos don't look as pretty/attractive to me but that's on me,Will be surprised but am okay with them. It's their choice & if I don't see them often it doesn't bother me so much,"In the context of SG, I think youngsters who have tattoos are very brave to get them and show them off. I mean because they're permanent. Usually I'm very curious what it means to them ",4
